RECOMMEND_LOCATION	NONE, LOCATION
RECOMMEND_EAT	EAT, NONE
RECOMMEND_TEENAGE	TEENAGE, NONE
RECOMMEND_PET	PET, NONE
RECOMMEND_ALCOHOL	ALCOHOL, NONE
RECOMMEND_SMOKE	SMOKE, NONE
RECOMMEND_NATURE	NATURE, NONE
RECOMMEND_HOME-LIKE	HOME-LIKE, NONE
RECOMMEND_LUXURY	LUXURY, NONE
RECOMMEND_TRADITIONAL	TRADITIONAL, NONE
RECOMMEND_EXOTIC	EXOTIC, NONE
RECOMMEND_SCENT-GOOD	SCENT-GOOD, NONE
RECOMMEND_MOOD-GOOD	MOOD-GOOD, NONE
RECOMMEND_VIEW-GOOD	VIEW-GOOD, NONE
RECOMMEND_ROOM-NUM	ROOM-NUM, NONE
RECOMMEND_UNSHARED	UNSHARED, NONE
RECOMMEND_NEW	NEW, NONE
RECOMMEND_SPLIT-LEVEL	SPLIT-LEVEL, NONE
RECOMMEND_INTERIOR-GOOD	INTERIOR-GOOD, NONE
RECOMMEND_GOOD-TO-GO	GOOD-TO-GO, NONE
RECOMMEND_FIRE-PLACE	FIRE-PLACE, NONE
RECOMMEND_WATER-POWER	WATER-POWER, NONE
RECOMMEND_SOUND-PROOF	SOUND-PROOF, NONE
RECOMMEND_HOT-WATER	HOT-WATER, NONE
RECOMMEND_PROVIDED	PROVIDED, NONE
RECOMMEND_PILLOW-GOOD	PILLOW-GOOD, NONE
RECOMMEND_BED-NUMBER	BED-NUMBER, NONE
RECOMMEND_BED-OPTION	BED-OPTION, NONE
RECOMMEND_BED-TWIN	BED-TWIN, NONE
RECOMMEND_BED-SIZE	BED-SIZE, NONE
RECOMMEND_BED-GOOD	BED-GOOD, NONE
RECOMMEND_SAFETY	SAFETY, NONE
RECOMMEND_BAN	BAN, NONE
RECOMMEND_REVIEW	REVIEW, NONE
RECOMMEND_PRICE	PRICE, NONE
RECOMMEND_SIZE	SIZE, NONE
RECOMMEND_SERVICE	SERVICE, NONE
RECOMMEND_CLEANNESS	CLEANNESS, NONE
RECOMMEND_TRANSPORTATION	TRANSPORTATION, NONE
RECOMMEND_SURROUND	SURROUND, NONE
RECOMMEND_ALL-FEATURE	NONE, ALL-FEATURE
VALET	VALET, NONE
ROOM-UPGRADE	ROOM-UPGRADE, NONE
ROOM-SERVICE	ROOM-SERVICE, NONE
MEAL	MEAL, NONE
DAYUSE	DAYUSE, NONE
PICKUP	PICKUP, NONE
SELF-CHECKIN	SELF-CHECKIN, NONE
LATE-CHECKIN	LATE-CHECKIN, NONE
EARLY-CHECKIN	EARLY-CHECKIN, NONE
WINE	WINE, NONE
PILL	PILL, NONE
DRINK	DRINK, NONE
GARDEN	GARDEN, NONE
TERRACE	TERRACE, NONE
AIRCLEANER	AIRCLEANER, NONE
WASHER	WASHER, NONE
TV	TV, NONE
SMART-TV	SMART-TV, NONE
AIRCONDITIONER	AIRCONDITIONER, NONE
BATH	BATH, NONE
BED	BED, NONE
FACILITY-GEN	FACILITY-GEN, NONE
PARKING	PARKING, NONE
ELEVATOR	ELEVATOR, NONE
SHOWER	SHOWER, NONE
PLAYGROUND	PLAYGROUND, NONE
SPORTS	SPORTS, NONE
GYM	GYM, NONE
KARAOKE	KARAOKE, NONE
BAR	BAR, NONE
HOTSPRING	HOTSPRING, NONE
ONDOLBANG	ONDOLBANG, NONE
