position,entity-name,norm,all-feature
GOOD-TO-GO,WINTER-SEASON,겨울에,겨울에 가기 좋은
GOOD-TO-GO,SUMMER-SEASON,여름에,여름에 가기 좋은
GOOD-TO-GO,COVID-SEASON,코로나 때,코로나 때 가기 좋은
GOOD-TO-GO,VACATION,휴가로,휴가로 많은
GOOD-TO-GO,HEALING,힐링여행,힐링여행 가기 좋은
GOOD-TO-GO,MT,MT로,MT로 많은
GOOD-TO-GO,HONEY-MOON,신혼여행으로,신혼여행으로 가기 좋은
GOOD-TO-GO,TRIPLE,3-4인이서,3-4인이서 가기 좋은
GOOD-TO-GO,GIRLS,여성분들이서,여성분들이서 가기 좋은
GOOD-TO-GO,BOYS,남성분들이서,남성분들이서 가기 좋은
GOOD-TO-GO,GROUP,단체로,단체로 가기 좋은
GOOD-TO-GO,COUPLE,2인이서,2인이서 가기 좋은
GOOD-TO-GO,SOLO,혼자서,혼자서 가기 좋은
GOOD-TO-GO,FAMILY,가족끼리,가족끼리 가기 좋은
GOOD-TO-GO,FRIEND,친한 사람과,친한 사람과 가기 좋은
GOOD-TO-GO,LOVER,애인과,애인과 가기 좋은
SURROUND,AMUSEMENT,즐길거리,즐길거리 많은
SURROUND,WATER-LEISURE,수상레저,수상레저 있는
SURROUND,MART,마트,마트 있는
SURROUND,CAFE,카페,카페 많은
SURROUND,RESTAURANT,식당,식당이 있는
ACCOMMODATION-TYPE,HOTEL,호텔,호텔
ACCOMMODATION-TYPE,HYATT-HOTEL,하야트 호텔,하야트 호텔
ACCOMMODATION-TYPE,SHILLA-HOTEL,신라 호텔,신라 호텔
ACCOMMODATION-TYPE,LOTTE-HOTEL,롯데 호텔,롯데 호텔
ACCOMMODATION-TYPE,MOTEL,모텔,모텔
ACCOMMODATION-TYPE,PENSION,펜션,펜션
ACCOMMODATION-TYPE,GUEST-HOUSE,게스트 하우스,게스트 하우스
ACCOMMODATION-TYPE,HANOK,한옥,한옥
ACCOMMODATION-TYPE,CAMPING,캠핑장,캠핑장
ACCOMMODATION-TYPE,HOSTEL,호스텔,호스텔
ACCOMMODATION-TYPE,ACCOMMODATION-GEN,숙소,숙소
ACCOMMODATION-TYPE,RESORT,리조트,리조트
LOCATION-TYPE,GEONDAE,건대,건대
LOCATION-TYPE,HANGANG,한강,한강
LOCATION-TYPE,HONGDAE,홍대,홍대
LOCATION-TYPE,GAROSUGIL,가로수길,가로수길
LOCATION-TYPE,GANGNAM,강남,강남
LOCATION-TYPE,EXPRESS-BUS-TERMINAL,고속터미널,고속터미널
LOCATION-TYPE,JUNGGU,중구,중구
LOCATION-TYPE,MANGWON,망원,망원
LOCATION-TYPE,SUNGSU,성수,성수
LOCATION-TYPE,SINCHON,신촌,신촌
LOCATION-TYPE,ITAEWON,이태원,이태원
LOCATION-TYPE,SONGPA,송파,송파
LOCATION-TYPE,JONGNO,종로,종로
LOCATION-TYPE,DAEGU,대구,대구
LOCATION-TYPE,WULSAN,울산,울산
LOCATION-TYPE,DAEJEON,대전,대전
LOCATION-TYPE,BUSAN,부산,부산
LOCATION-TYPE,JEONJU,전주,전주
LOCATION-TYPE,GUNSAN,군산,군산
LOCATION-TYPE,IKSAN,익산,익산
LOCATION-TYPE,JEONGEUP,정읍,정읍
LOCATION-TYPE,NAMWON,남원,남원
LOCATION-TYPE,GIMJE,김제,김제
LOCATION-TYPE,WANJU,완주,완주
LOCATION-TYPE,JINAN,진안,진안
LOCATION-TYPE,MUJU,무주,무주
LOCATION-TYPE,JANGSU,장수,장수
LOCATION-TYPE,IMSIL,임실,임실
LOCATION-TYPE,SUNCHANG,순창,순창
LOCATION-TYPE,GOCHANG,고창,고창
LOCATION-TYPE,BUAN,부안,부안
LOCATION-TYPE,TAEAN,태안,태안
LOCATION-TYPE,CHEONAN,천안,천안
LOCATION-TYPE,GONGJU,공주,공주
LOCATION-TYPE,BORYEONG,보령,보령
LOCATION-TYPE,ASAN,아산,아산
LOCATION-TYPE,SEOSAN,서산,서산
LOCATION-TYPE,NONSAN,논산,논산
LOCATION-TYPE,GYERYONG,계룡,계룡
LOCATION-TYPE,DANGJIN,당진,당진
LOCATION-TYPE,GEUMSAN,금산,금산
LOCATION-TYPE,BUYEO,부여,부여
LOCATION-TYPE,SEOCHEON,서천,서천
LOCATION-TYPE,CHEONGYANG,청양,청양
LOCATION-TYPE,HONGSEONG,홍성,홍성
LOCATION-TYPE,YESAN,예산,예산
LOCATION-TYPE,TAESAN,태안,태안
LOCATION-TYPE,CHEONGJU,청주,청주
LOCATION-TYPE,CHUNGJU,충주,충주
LOCATION-TYPE,JECHEON,제천,제천
LOCATION-TYPE,BOEUN,보은,보은
LOCATION-TYPE,OKCHEON,옥천,옥천
LOCATION-TYPE,YEONGDONG,영동,영동
LOCATION-TYPE,JINCHEON,진천,진천
LOCATION-TYPE,GOISAN,괴산,괴산
LOCATION-TYPE,EUMSEONG,음성,음성
LOCATION-TYPE,DANYANG,단양,단양
LOCATION-TYPE,JEUNGPYEONG,증평,증평
LOCATION-TYPE,JEJU,제주,제주
LOCATION-TYPE,SEGUIPO,서귀포,서귀포
LOCATION-TYPE,GOSEONG,고성,고성
